,State,id,Year,State_Minimum_Wage,Federal_Minimum_Wage,CPI_Average
1839,Arkansas,5,2002,5.15,5.15,179.9
1840,California,6,2002,6.75,5.15,179.9
1841,Colorado,8,2002,5.15,5.15,179.9
1842,Connecticut,9,2002,6.7,5.15,179.9
1843,Delaware,10,2002,6.15,5.15,179.9
1844,District of Columbia,11,2002,6.15,5.15,179.9
1845,Florida,12,2002,0.0,5.15,179.9
1846,Georgia,13,2002,5.15,5.15,179.9
1847,Guam,66,2002,5.15,5.15,179.9
1848,Hawaii,15,2002,5.75,5.15,179.9
1849,Idaho,16,2002,5.15,5.15,179.9
1850,Illinois,17,2002,5.15,5.15,179.9
1851,Indiana,18,2002,5.15,5.15,179.9
1852,Iowa,19,2002,5.15,5.15,179.9
1853,Kansas,20,2002,2.65,5.15,179.9
1854,Kentucky,21,2002,5.15,5.15,179.9
1855,Louisiana,22,2002,0.0,5.15,179.9
1856,Maine,23,2002,5.75,5.15,179.9
1857,Maryland,24,2002,5.15,5.15,179.9
1858,Massachusetts,25,2002,6.75,5.15,179.9
1859,Michigan,26,2002,5.15,5.15,179.9
1860,Minnesota,27,2002,4.9,5.15,179.9
1861,Mississippi,28,2002,0.0,5.15,179.9
1862,Missouri,29,2002,5.15,5.15,179.9
1863,Montana,30,2002,4.0,5.15,179.9
1864,Nebraska,31,2002,5.15,5.15,179.9
1865,Nevada,32,2002,5.15,5.15,179.9
1866,New Hampshire,33,2002,5.15,5.15,179.9
1867,New Jersey,34,2002,5.15,5.15,179.9
1868,New Mexico,35,2002,4.25,5.15,179.9
1869,New York,36,2002,5.15,5.15,179.9
1870,North Carolina,37,2002,5.15,5.15,179.9
1871,North Dakota,38,2002,5.15,5.15,179.9
1872,Ohio,39,2002,2.8,5.15,179.9
1873,Oklahoma,40,2002,2.0,5.15,179.9
1874,Oregon,41,2002,6.5,5.15,179.9
1875,Pennsylvania,42,2002,5.15,5.15,179.9
1876,Puerto Rico,72,2002,3.61,5.15,179.9
1877,Rhode Island,44,2002,6.15,5.15,179.9
1878,South Carolina,45,2002,0.0,5.15,179.9
1879,South Dakota,46,2002,5.15,5.15,179.9
1880,Tennessee,47,2002,0.0,5.15,179.9
1881,Texas,48,2002,5.15,5.15,179.9
1882,U.S. Virgin Islands,78,2002,4.3,5.15,179.9
1883,Utah,49,2002,5.15,5.15,179.9
1884,Vermont,50,2002,6.25,5.15,179.9
1885,Virginia,51,2002,5.15,5.15,179.9
1886,Washington,53,2002,6.9,5.15,179.9
1887,West Virginia,54,2002,5.15,5.15,179.9
1888,Wisconsin,55,2002,5.15,5.15,179.9
1889,Wyoming,56,2002,5.15,5.15,179.9
1890,Alabama,1,2003,0.0,5.15,184.0
1891,Alaska,2,2003,7.15,5.15,184.0
1892,Arizona,4,2003,0.0,5.15,184.0
1893,Arkansas,5,2003,5.15,5.15,184.0
1894,California,6,2003,6.75,5.15,184.0
1895,Colorado,8,2003,5.15,5.15,184.0
1896,Connecticut,9,2003,6.9,5.15,184.0
1897,Delaware,10,2003,6.15,5.15,184.0
1898,District of Columbia,11,2003,6.15,5.15,184.0
1899,Florida,12,2003,0.0,5.15,184.0
1900,Georgia,13,2003,5.15,5.15,184.0
1901,Guam,66,2003,5.15,5.15,184.0
1902,Hawaii,15,2003,6.25,5.15,184.0
1903,Idaho,16,2003,5.15,5.15,184.0
1904,Illinois,17,2003,5.15,5.15,184.0
1905,Indiana,18,2003,5.15,5.15,184.0
1906,Iowa,19,2003,5.15,5.15,184.0
1907,Kansas,20,2003,2.65,5.15,184.0
1908,Kentucky,21,2003,5.15,5.15,184.0
1909,Louisiana,22,2003,0.0,5.15,184.0
1910,Maine,23,2003,6.25,5.15,184.0
1911,Maryland,24,2003,5.15,5.15,184.0
1912,Massachusetts,25,2003,6.75,5.15,184.0
1913,Michigan,26,2003,5.15,5.15,184.0
1914,Minnesota,27,2003,4.9,5.15,184.0
1915,Mississippi,28,2003,0.0,5.15,184.0
1916,Missouri,29,2003,5.15,5.15,184.0
1917,Montana,30,2003,4.0,5.15,184.0
1918,Nebraska,31,2003,5.15,5.15,184.0
1919,Nevada,32,2003,5.15,5.15,184.0
1920,New Hampshire,33,2003,5.15,5.15,184.0
1921,New Jersey,34,2003,5.15,5.15,184.0
1922,New Mexico,35,2003,4.25,5.15,184.0
1923,New York,36,2003,5.15,5.15,184.0
1924,North Carolina,37,2003,5.15,5.15,184.0
1925,North Dakota,38,2003,5.15,5.15,184.0
1926,Ohio,39,2003,2.8,5.15,184.0
1927,Oklahoma,40,2003,2.0,5.15,184.0
1928,Oregon,41,2003,6.9,5.15,184.0
1929,Pennsylvania,42,2003,5.15,5.15,184.0
1930,Puerto Rico,72,2003,3.61,5.15,184.0
1931,Rhode Island,44,2003,6.15,5.15,184.0
1932,South Carolina,45,2003,0.0,5.15,184.0
1933,South Dakota,46,2003,5.15,5.15,184.0
1934,Tennessee,47,2003,0.0,5.15,184.0
1935,Texas,48,2003,5.15,5.15,184.0
1936,U.S. Virgin Islands,78,2003,4.3,5.15,184.0
1937,Utah,49,2003,5.15,5.15,184.0
1938,Vermont,50,2003,6.25,5.15,184.0
1939,Virginia,51,2003,5.15,5.15,184.0
1940,Washington,53,2003,7.01,5.15,184.0
1941,West Virginia,54,2003,5.15,5.15,184.0
1942,Wisconsin,55,2003,5.15,5.15,184.0
1943,Wyoming,56,2003,5.15,5.15,184.0
1944,Alabama,1,2004,0.0,5.15,188.9
1945,Alaska,2,2004,7.15,5.15,188.9
1946,Arizona,4,2004,0.0,5.15,188.9
1947,Arkansas,5,2004,5.15,5.15,188.9
1948,California,6,2004,6.75,5.15,188.9
1949,Colorado,8,2004,5.15,5.15,188.9
1950,Connecticut,9,2004,7.1,5.15,188.9
1951,Delaware,10,2004,6.15,5.15,188.9
1952,District of Columbia,11,2004,6.15,5.15,188.9
1953,Florida,12,2004,0.0,5.15,188.9
1954,Georgia,13,2004,5.15,5.15,188.9
1955,Guam,66,2004,5.15,5.15,188.9
1956,Hawaii,15,2004,6.25,5.15,188.9
1957,Idaho,16,2004,5.15,5.15,188.9
1958,Illinois,17,2004,5.5,5.15,188.9
1959,Indiana,18,2004,5.15,5.15,188.9
1960,Iowa,19,2004,5.15,5.15,188.9
1961,Kansas,20,2004,2.65,5.15,188.9
1962,Kentucky,21,2004,5.15,5.15,188.9
1963,Louisiana,22,2004,0.0,5.15,188.9
1964,Maine,23,2004,6.25,5.15,188.9
1965,Maryland,24,2004,5.15,5.15,188.9
1966,Massachusetts,25,2004,6.75,5.15,188.9
1967,Michigan,26,2004,5.15,5.15,188.9
1968,Minnesota,27,2004,4.9,5.15,188.9
1969,Mississippi,28,2004,0.0,5.15,188.9
1970,Missouri,29,2004,5.15,5.15,188.9
1971,Montana,30,2004,4.0,5.15,188.9
1972,Nebraska,31,2004,5.15,5.15,188.9
1973,Nevada,32,2004,5.15,5.15,188.9
1974,New Hampshire,33,2004,5.15,5.15,188.9
1975,New Jersey,34,2004,5.15,5.15,188.9
1976,New Mexico,35,2004,5.15,5.15,188.9
1977,New York,36,2004,5.15,5.15,188.9
1978,North Carolina,37,2004,5.15,5.15,188.9
1979,North Dakota,38,2004,5.15,5.15,188.9
1980,Ohio,39,2004,2.8,5.15,188.9
1981,Oklahoma,40,2004,2.0,5.15,188.9
1982,Oregon,41,2004,7.05,5.15,188.9
1983,Pennsylvania,42,2004,5.15,5.15,188.9
1984,Puerto Rico,72,2004,3.61,5.15,188.9
1985,Rhode Island,44,2004,6.75,5.15,188.9
1986,South Carolina,45,2004,0.0,5.15,188.9
1987,South Dakota,46,2004,5.15,5.15,188.9
1988,Tennessee,47,2004,0.0,5.15,188.9
1989,Texas,48,2004,5.15,5.15,188.9
1990,U.S. Virgin Islands,78,2004,4.3,5.15,188.9
1991,Utah,49,2004,5.15,5.15,188.9
1992,Vermont,50,2004,6.75,5.15,188.9
1993,Virginia,51,2004,5.15,5.15,188.9
1994,Washington,53,2004,7.16,5.15,188.9
1995,West Virginia,54,2004,5.15,5.15,188.9
1996,Wisconsin,55,2004,5.15,5.15,188.9
1997,Wyoming,56,2004,5.15,5.15,188.9
1998,Alabama,1,2005,0.0,5.15,195.3
1999,Alaska,2,2005,7.15,5.15,195.3
2000,Arizona,4,2005,0.0,5.15,195.3
2001,Arkansas,5,2005,5.15,5.15,195.3
2002,California,6,2005,6.75,5.15,195.3
2003,Colorado,8,2005,5.15,5.15,195.3
2004,Connecticut,9,2005,7.1,5.15,195.3
2005,Delaware,10,2005,6.15,5.15,195.3
2006,District of Columbia,11,2005,6.6,5.15,195.3
2007,Florida,12,2005,0.0,5.15,195.3
2008,Georgia,13,2005,5.15,5.15,195.3
2009,Guam,66,2005,5.15,5.15,195.3
2010,Hawaii,15,2005,6.25,5.15,195.3
2011,Idaho,16,2005,5.15,5.15,195.3
2012,Illinois,17,2005,6.5,5.15,195.3
2013,Indiana,18,2005,5.15,5.15,195.3
2014,Iowa,19,2005,5.15,5.15,195.3
2015,Kansas,20,2005,2.65,5.15,195.3
2016,Kentucky,21,2005,5.15,5.15,195.3
2017,Louisiana,22,2005,0.0,5.15,195.3
2018,Maine,23,2005,6.35,5.15,195.3
2019,Maryland,24,2005,5.15,5.15,195.3
2020,Massachusetts,25,2005,6.75,5.15,195.3
2021,Michigan,26,2005,5.15,5.15,195.3
2022,Minnesota,27,2005,4.9,5.15,195.3
2023,Mississippi,28,2005,0.0,5.15,195.3
2024,Missouri,29,2005,5.15,5.15,195.3
2025,Montana,30,2005,4.0,5.15,195.3
2026,Nebraska,31,2005,5.15,5.15,195.3
2027,Nevada,32,2005,5.15,5.15,195.3
2028,New Hampshire,33,2005,5.15,5.15,195.3
2029,New Jersey,34,2005,5.15,5.15,195.3
2030,New Mexico,35,2005,5.15,5.15,195.3
2031,New York,36,2005,6.0,5.15,195.3
2032,North Carolina,37,2005,5.15,5.15,195.3
2033,North Dakota,38,2005,5.15,5.15,195.3
2034,Ohio,39,2005,2.8,5.15,195.3
2035,Oklahoma,40,2005,2.0,5.15,195.3
2036,Oregon,41,2005,7.25,5.15,195.3
2037,Pennsylvania,42,2005,5.15,5.15,195.3
2038,Puerto Rico,72,2005,3.61,5.15,195.3
2039,Rhode Island,44,2005,6.75,5.15,195.3
2040,South Carolina,45,2005,0.0,5.15,195.3
2041,South Dakota,46,2005,5.15,5.15,195.3
2042,Tennessee,47,2005,0.0,5.15,195.3
2043,Texas,48,2005,5.15,5.15,195.3
2044,U.S. Virgin Islands,78,2005,4.3,5.15,195.3
2045,Utah,49,2005,5.15,5.15,195.3
2046,Vermont,50,2005,7.0,5.15,195.3
2047,Virginia,51,2005,5.15,5.15,195.3
2048,Washington,53,2005,7.35,5.15,195.3
2049,West Virginia,54,2005,5.15,5.15,195.3
2050,Wisconsin,55,2005,5.15,5.15,195.3
2051,Wyoming,56,2005,5.15,5.15,195.3
2052,Alabama,1,2006,0.0,5.15,201.6
2053,Alaska,2,2006,7.15,5.15,201.6
2054,Arizona,4,2006,0.0,5.15,201.6
2055,Arkansas,5,2006,5.15,5.15,201.6
2056,California,6,2006,6.75,5.15,201.6
2057,Colorado,8,2006,5.15,5.15,201.6
2058,Connecticut,9,2006,7.4,5.15,201.6
2059,Delaware,10,2006,6.15,5.15,201.6
2060,District of Columbia,11,2006,7.0,5.15,201.6
2061,Florida,12,2006,6.4,5.15,201.6
2062,Georgia,13,2006,5.15,5.15,201.6
2063,Guam,66,2006,5.15,5.15,201.6
2064,Hawaii,15,2006,6.75,5.15,201.6
2065,Idaho,16,2006,5.15,5.15,201.6
2066,Illinois,17,2006,6.5,5.15,201.6
2067,Indiana,18,2006,5.15,5.15,201.6
2068,Iowa,19,2006,5.15,5.15,201.6
2069,Kansas,20,2006,2.65,5.15,201.6
2070,Kentucky,21,2006,5.15,5.15,201.6
2071,Louisiana,22,2006,0.0,5.15,201.6
2072,Maine,23,2006,6.5,5.15,201.6
2073,Maryland,24,2006,5.15,5.15,201.6
2074,Massachusetts,25,2006,6.75,5.15,201.6
2075,Michigan,26,2006,5.15,5.15,201.6
2076,Minnesota,27,2006,5.25,5.15,201.6
2077,Mississippi,28,2006,0.0,5.15,201.6
2078,Missouri,29,2006,5.15,5.15,201.6
2079,Montana,30,2006,4.0,5.15,201.6
2080,Nebraska,31,2006,5.15,5.15,201.6
2081,Nevada,32,2006,5.15,5.15,201.6
2082,New Hampshire,33,2006,5.15,5.15,201.6
2083,New Jersey,34,2006,6.15,5.15,201.6
2084,New Mexico,35,2006,5.15,5.15,201.6
2085,New York,36,2006,6.75,5.15,201.6
2086,North Carolina,37,2006,5.15,5.15,201.6
2087,North Dakota,38,2006,5.15,5.15,201.6
2088,Ohio,39,2006,2.8,5.15,201.6
2089,Oklahoma,40,2006,2.0,5.15,201.6
2090,Oregon,41,2006,7.5,5.15,201.6
2091,Pennsylvania,42,2006,5.15,5.15,201.6
2092,Puerto Rico,72,2006,3.61,5.15,201.6
2093,Rhode Island,44,2006,6.75,5.15,201.6
2094,South Carolina,45,2006,0.0,5.15,201.6
2095,South Dakota,46,2006,5.15,5.15,201.6
2096,Tennessee,47,2006,0.0,5.15,201.6
2097,Texas,48,2006,5.15,5.15,201.6
2098,U.S. Virgin Islands,78,2006,4.3,5.15,201.6
2099,Utah,49,2006,5.15,5.15,201.6
2100,Vermont,50,2006,7.25,5.15,201.6
2101,Virginia,51,2006,5.15,5.15,201.6
2102,Washington,53,2006,7.63,5.15,201.6
2103,West Virginia,54,2006,5.15,5.15,201.6
2104,Wisconsin,55,2006,5.7,5.15,201.6
2105,Wyoming,56,2006,5.15,5.15,201.6
2106,Alabama,1,2007,0.0,5.15,207.342
2107,Alaska,2,2007,7.15,5.15,207.342
2108,Arizona,4,2007,6.75,5.15,207.342
2109,Arkansas,5,2007,6.25,5.15,207.342
2110,California,6,2007,7.5,5.15,207.342
2111,Colorado,8,2007,6.85,5.15,207.342
2112,Connecticut,9,2007,7.65,5.15,207.342
2113,Delaware,10,2007,6.65,5.15,207.342
2114,District of Columbia,11,2007,7.0,5.15,207.342
2115,Florida,12,2007,6.67,5.15,207.342
2116,Georgia,13,2007,5.15,5.15,207.342
2117,Guam,66,2007,5.15,5.15,207.342
2118,Hawaii,15,2007,7.25,5.15,207.342
2119,Idaho,16,2007,5.15,5.15,207.342
2120,Illinois,17,2007,7.5,5.15,207.342
2121,Indiana,18,2007,5.15,5.15,207.342
2122,Iowa,19,2007,5.15,5.15,207.342
2123,Kansas,20,2007,2.65,5.15,207.342
2124,Kentucky,21,2007,5.15,5.15,207.342
2125,Louisiana,22,2007,0.0,5.15,207.342
2126,Maine,23,2007,6.75,5.15,207.342
2127,Maryland,24,2007,6.15,5.15,207.342
2128,Massachusetts,25,2007,7.5,5.15,207.342
2129,Michigan,26,2007,6.95,5.15,207.342
2130,Minnesota,27,2007,5.25,5.15,207.342
2131,Mississippi,28,2007,0.0,5.15,207.342
2132,Missouri,29,2007,6.5,5.15,207.342
2133,Montana,30,2007,4.0,5.15,207.342
2134,Nebraska,31,2007,5.15,5.15,207.342
2135,Nevada,32,2007,6.15,5.15,207.342
2136,New Hampshire,33,2007,5.15,5.15,207.342
2137,New Jersey,34,2007,7.15,5.15,207.342
2138,New Mexico,35,2007,5.15,5.15,207.342
2139,New York,36,2007,7.15,5.15,207.342
2140,North Carolina,37,2007,6.15,5.15,207.342
2141,North Dakota,38,2007,5.15,5.15,207.342
2142,Ohio,39,2007,6.85,5.15,207.342
2143,Oklahoma,40,2007,2.0,5.15,207.342
2144,Oregon,41,2007,7.8,5.15,207.342
2145,Pennsylvania,42,2007,6.25,5.15,207.342
2146,Puerto Rico,72,2007,3.61,5.15,207.342
2147,Rhode Island,44,2007,7.4,5.15,207.342
2148,South Carolina,45,2007,0.0,5.15,207.342
2149,South Dakota,46,2007,5.15,5.15,207.342
2150,Tennessee,47,2007,0.0,5.15,207.342
2151,Texas,48,2007,5.15,5.15,207.342
2152,U.S. Virgin Islands,78,2007,4.3,5.15,207.342
2153,Utah,49,2007,5.15,5.15,207.342
2154,Vermont,50,2007,7.53,5.15,207.342
2155,Virginia,51,2007,5.15,5.15,207.342
2156,Washington,53,2007,7.93,5.15,207.342
2157,West Virginia,54,2007,5.85,5.15,207.342
2158,Wisconsin,55,2007,6.5,5.15,207.342
2159,Wyoming,56,2007,5.15,5.15,207.342
2160,Alabama,1,2008,0.0,5.85,215.303
2161,Alaska,2,2008,7.15,5.85,215.303
2162,Arizona,4,2008,6.9,5.85,215.303
2163,Arkansas,5,2008,6.25,5.85,215.303
2164,California,6,2008,8.0,5.85,215.303
2165,Colorado,8,2008,7.02,5.85,215.303
2166,Connecticut,9,2008,7.65,5.85,215.303
2167,Delaware,10,2008,7.15,5.85,215.303
2168,District of Columbia,11,2008,7.0,5.85,215.303
2169,Florida,12,2008,6.79,5.85,215.303
2170,Georgia,13,2008,5.15,5.85,215.303
2171,Guam,66,2008,5.85,5.85,215.303
2172,Hawaii,15,2008,7.25,5.85,215.303
2173,Idaho,16,2008,5.85,5.85,215.303
2174,Illinois,17,2008,7.75,5.85,215.303
2175,Indiana,18,2008,5.85,5.85,215.303
2176,Iowa,19,2008,7.25,5.85,215.303
2177,Kansas,20,2008,2.65,5.85,215.303
2178,Kentucky,21,2008,5.85,5.85,215.303
2179,Louisiana,22,2008,0.0,5.85,215.303
2180,Maine,23,2008,7.0,5.85,215.303
2181,Maryland,24,2008,6.15,5.85,215.303
2182,Massachusetts,25,2008,8.0,5.85,215.303
2183,Michigan,26,2008,7.15,5.85,215.303
2184,Minnesota,27,2008,5.25,5.85,215.303
2185,Mississippi,28,2008,0.0,5.85,215.303
2186,Missouri,29,2008,6.65,5.85,215.303
2187,Montana,30,2008,4.0,5.85,215.303
2188,Nebraska,31,2008,5.85,5.85,215.303
2189,Nevada,32,2008,6.33,5.85,215.303
2190,New Hampshire,33,2008,6.5,5.85,215.303
2191,New Jersey,34,2008,7.15,5.85,215.303
2192,New Mexico,35,2008,6.5,5.85,215.303
2193,New York,36,2008,7.15,5.85,215.303
2194,North Carolina,37,2008,6.15,5.85,215.303
2195,North Dakota,38,2008,5.85,5.85,215.303
2196,Ohio,39,2008,7.0,5.85,215.303
2197,Oklahoma,40,2008,2.0,5.85,215.303
2198,Oregon,41,2008,7.95,5.85,215.303
2199,Pennsylvania,42,2008,7.15,5.85,215.303
2200,Puerto Rico,72,2008,3.61,5.85,215.303
2201,Rhode Island,44,2008,7.4,5.85,215.303
2202,South Carolina,45,2008,0.0,5.85,215.303
2203,South Dakota,46,2008,5.85,5.85,215.303
2204,Tennessee,47,2008,0.0,5.85,215.303
2205,Texas,48,2008,5.85,5.85,215.303
2206,U.S. Virgin Islands,78,2008,4.3,5.85,215.303
2207,Utah,49,2008,5.85,5.85,215.303
2208,Vermont,50,2008,7.68,5.85,215.303
2209,Virginia,51,2008,5.85,5.85,215.303
2210,Washington,53,2008,8.07,5.85,215.303
2211,West Virginia,54,2008,6.55,5.85,215.303
2212,Wisconsin,55,2008,6.5,5.85,215.303
2213,Wyoming,56,2008,5.15,5.85,215.303
2214,Alabama,1,2009,0.0,6.55,214.537
2215,Alaska,2,2009,7.15,6.55,214.537
2216,Arizona,4,2009,7.25,6.55,214.537
2217,Arkansas,5,2009,6.25,6.55,214.537
2218,California,6,2009,8.0,6.55,214.537
2219,Colorado,8,2009,7.28,6.55,214.537
2220,Connecticut,9,2009,8.0,6.55,214.537
2221,Delaware,10,2009,7.15,6.55,214.537
2222,District of Columbia,11,2009,7.55,6.55,214.537
2223,Florida,12,2009,7.21,6.55,214.537
2224,Georgia,13,2009,5.15,6.55,214.537
2225,Guam,66,2009,5.85,6.55,214.537
2226,Hawaii,15,2009,7.25,6.55,214.537
2227,Idaho,16,2009,6.55,6.55,214.537
2228,Illinois,17,2009,8.0,6.55,214.537
2229,Indiana,18,2009,6.55,6.55,214.537
2230,Iowa,19,2009,7.25,6.55,214.537
2231,Kansas,20,2009,2.65,6.55,214.537
2232,Kentucky,21,2009,6.55,6.55,214.537
2233,Louisiana,22,2009,0.0,6.55,214.537
2234,Maine,23,2009,7.25,6.55,214.537
2235,Maryland,24,2009,6.55,6.55,214.537
2236,Massachusetts,25,2009,8.0,6.55,214.537
2237,Michigan,26,2009,7.4,6.55,214.537
2238,Minnesota,27,2009,5.25,6.55,214.537
2239,Mississippi,28,2009,0.0,6.55,214.537
2240,Missouri,29,2009,7.05,6.55,214.537
2241,Montana,30,2009,4.0,6.55,214.537
2242,Nebraska,31,2009,6.55,6.55,214.537
2243,Nevada,32,2009,6.55,6.55,214.537
2244,New Hampshire,33,2009,7.25,6.55,214.537
2245,New Jersey,34,2009,7.15,6.55,214.537
2246,New Mexico,35,2009,7.5,6.55,214.537
2247,New York,36,2009,7.15,6.55,214.537
2248,North Carolina,37,2009,6.55,6.55,214.537
2249,North Dakota,38,2009,6.55,6.55,214.537
2250,Ohio,39,2009,7.3,6.55,214.537
2251,Oklahoma,40,2009,2.0,6.55,214.537
2252,Oregon,41,2009,8.4,6.55,214.537
2253,Pennsylvania,42,2009,7.15,6.55,214.537
2254,Puerto Rico,72,2009,4.1,6.55,214.537
2255,Rhode Island,44,2009,7.4,6.55,214.537
2256,South Carolina,45,2009,0.0,6.55,214.537
2257,South Dakota,46,2009,6.55,6.55,214.537
2258,Tennessee,47,2009,0.0,6.55,214.537
2259,Texas,48,2009,6.55,6.55,214.537
2260,U.S. Virgin Islands,78,2009,4.3,6.55,214.537
2261,Utah,49,2009,6.55,6.55,214.537
2262,Vermont,50,2009,8.06,6.55,214.537
2263,Virginia,51,2009,6.55,6.55,214.537
2264,Washington,53,2009,8.55,6.55,214.537
2265,West Virginia,54,2009,7.25,6.55,214.537
2266,Wisconsin,55,2009,6.5,6.55,214.537
2267,Wyoming,56,2009,5.15,6.55,214.537
2268,Alabama,1,2010,0.0,7.25,218.056
2269,Alaska,2,2010,7.75,7.25,218.056
2270,Arizona,4,2010,7.25,7.25,218.056
2271,Arkansas,5,2010,6.25,7.25,218.056
2272,California,6,2010,8.0,7.25,218.056
2273,Colorado,8,2010,7.24,7.25,218.056
2274,Connecticut,9,2010,8.25,7.25,218.056
2275,Delaware,10,2010,7.25,7.25,218.056
2276,District of Columbia,11,2010,8.25,7.25,218.056
2277,Florida,12,2010,7.25,7.25,218.056
2278,Georgia,13,2010,5.15,7.25,218.056
2279,Guam,66,2010,7.25,7.25,218.056
2280,Hawaii,15,2010,7.25,7.25,218.056
2281,Idaho,16,2010,7.25,7.25,218.056
2282,Illinois,17,2010,8.25,7.25,218.056
2283,Indiana,18,2010,7.25,7.25,218.056
2284,Iowa,19,2010,7.25,7.25,218.056
2285,Kansas,20,2010,7.25,7.25,218.056
2286,Kentucky,21,2010,7.25,7.25,218.056
2287,Louisiana,22,2010,0.0,7.25,218.056
2288,Maine,23,2010,7.5,7.25,218.056
2289,Maryland,24,2010,7.25,7.25,218.056
2290,Massachusetts,25,2010,8.0,7.25,218.056
2291,Michigan,26,2010,7.4,7.25,218.056
2292,Minnesota,27,2010,5.25,7.25,218.056
2293,Mississippi,28,2010,0.0,7.25,218.056
2294,Missouri,29,2010,7.25,7.25,218.056
2295,Montana,30,2010,4.0,7.25,218.056
2296,Nebraska,31,2010,7.25,7.25,218.056
2297,Nevada,32,2010,6.55,7.25,218.056
2298,New Hampshire,33,2010,7.25,7.25,218.056
2299,New Jersey,34,2010,7.25,7.25,218.056
2300,New Mexico,35,2010,7.5,7.25,218.056
2301,New York,36,2010,7.25,7.25,218.056
2302,North Carolina,37,2010,7.25,7.25,218.056
2303,North Dakota,38,2010,7.25,7.25,218.056
2304,Ohio,39,2010,7.3,7.25,218.056
2305,Oklahoma,40,2010,2.0,7.25,218.056
2306,Oregon,41,2010,8.4,7.25,218.056
2307,Pennsylvania,42,2010,7.25,7.25,218.056
2308,Puerto Rico,72,2010,0.0,7.25,218.056
2309,Rhode Island,44,2010,7.4,7.25,218.056
2310,South Carolina,45,2010,0.0,7.25,218.056
2311,South Dakota,46,2010,7.25,7.25,218.056
2312,Tennessee,47,2010,0.0,7.25,218.056
2313,Texas,48,2010,7.25,7.25,218.056
2314,U.S. Virgin Islands,78,2010,4.3,7.25,218.056
2315,Utah,49,2010,7.25,7.25,218.056
2316,Vermont,50,2010,8.06,7.25,218.056
2317,Virginia,51,2010,7.25,7.25,218.056
2318,Washington,53,2010,8.55,7.25,218.056
2319,West Virginia,54,2010,7.25,7.25,218.056
2320,Wisconsin,55,2010,7.25,7.25,218.056
2321,Wyoming,56,2010,5.15,7.25,218.056
2322,Alabama,1,2011,0.0,7.25,224.939
2323,Alaska,2,2011,7.75,7.25,224.939
2324,Arizona,4,2011,7.35,7.25,224.939
2325,Arkansas,5,2011,6.25,7.25,224.939
2326,California,6,2011,8.0,7.25,224.939
2327,Colorado,8,2011,7.36,7.25,224.939
2328,Connecticut,9,2011,8.25,7.25,224.939
2329,Delaware,10,2011,7.25,7.25,224.939
2330,District of Columbia,11,2011,8.25,7.25,224.939
2331,Florida,12,2011,7.25,7.25,224.939
2332,Georgia,13,2011,5.15,7.25,224.939
2333,Guam,66,2011,7.25,7.25,224.939
2334,Hawaii,15,2011,7.25,7.25,224.939
2335,Idaho,16,2011,7.25,7.25,224.939
2336,Illinois,17,2011,8.25,7.25,224.939
2337,Indiana,18,2011,7.25,7.25,224.939
2338,Iowa,19,2011,7.25,7.25,224.939
2339,Kansas,20,2011,7.25,7.25,224.939
2340,Kentucky,21,2011,7.25,7.25,224.939
2341,Louisiana,22,2011,0.0,7.25,224.939
2342,Maine,23,2011,7.5,7.25,224.939
2343,Maryland,24,2011,7.25,7.25,224.939
2344,Massachusetts,25,2011,8.0,7.25,224.939
2345,Michigan,26,2011,7.4,7.25,224.939
2346,Minnesota,27,2011,5.25,7.25,224.939
2347,Mississippi,28,2011,0.0,7.25,224.939
2348,Missouri,29,2011,7.25,7.25,224.939
2349,Montana,30,2011,4.0,7.25,224.939
2350,Nebraska,31,2011,7.25,7.25,224.939
2351,Nevada,32,2011,7.25,7.25,224.939
2352,New Hampshire,33,2011,7.25,7.25,224.939
2353,New Jersey,34,2011,7.25,7.25,224.939
2354,New Mexico,35,2011,7.5,7.25,224.939
2355,New York,36,2011,7.25,7.25,224.939
2356,North Carolina,37,2011,7.25,7.25,224.939
2357,North Dakota,38,2011,7.25,7.25,224.939
2358,Ohio,39,2011,7.4,7.25,224.939
2359,Oklahoma,40,2011,2.0,7.25,224.939
2360,Oregon,41,2011,8.5,7.25,224.939
2361,Pennsylvania,42,2011,7.25,7.25,224.939
2362,Puerto Rico,72,2011,0.0,7.25,224.939
2363,Rhode Island,44,2011,7.4,7.25,224.939
2364,South Carolina,45,2011,0.0,7.25,224.939
2365,South Dakota,46,2011,7.25,7.25,224.939
2366,Tennessee,47,2011,0.0,7.25,224.939
2367,Texas,48,2011,7.25,7.25,224.939
2368,U.S. Virgin Islands,78,2011,4.3,7.25,224.939
2369,Utah,49,2011,7.25,7.25,224.939
2370,Vermont,50,2011,8.15,7.25,224.939
2371,Virginia,51,2011,7.25,7.25,224.939
2372,Washington,53,2011,8.67,7.25,224.939
2373,West Virginia,54,2011,7.25,7.25,224.939
2374,Wisconsin,55,2011,7.25,7.25,224.939
2375,Wyoming,56,2011,5.15,7.25,224.939
2376,Alabama,1,2012,0.0,7.25,229.594
2377,Alaska,2,2012,7.75,7.25,229.594
2378,Arizona,4,2012,7.65,7.25,229.594
2379,Arkansas,5,2012,6.25,7.25,229.594
2380,California,6,2012,8.0,7.25,229.594
2381,Colorado,8,2012,7.64,7.25,229.594
2382,Connecticut,9,2012,8.25,7.25,229.594
2383,Delaware,10,2012,7.25,7.25,229.594
2384,District of Columbia,11,2012,8.25,7.25,229.594
