,State,id,Year,Federal_Minimum_Wage,Federal_Minimum_Wage_2022_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2022_Dollars,CPI_Average
1620,Alabama,1,1998,5.15,9.11,5.15,9.11,163.0
1621,Alaska,2,1998,5.15,9.11,5.65,9.99,163.0
1622,Arizona,4,1998,5.15,9.11,5.15,9.11,163.0
1623,Arkansas,5,1998,5.15,9.11,5.15,9.11,163.0
1624,California,6,1998,5.15,9.11,5.15,9.11,163.0
1625,Colorado,8,1998,5.15,9.11,5.15,9.11,163.0
1626,Connecticut,9,1998,5.15,9.11,5.18,9.16,163.0
1627,Delaware,10,1998,5.15,9.11,5.15,9.11,163.0
1628,District of Columbia,11,1998,5.15,9.11,6.15,10.88,163.0
1629,Florida,12,1998,5.15,9.11,5.15,9.11,163.0
1630,Georgia,13,1998,5.15,9.11,5.15,9.11,163.0
1631,Guam,66,1998,5.15,9.11,5.15,9.11,163.0
1632,Hawaii,15,1998,5.15,9.11,5.25,9.29,163.0
1633,Idaho,16,1998,5.15,9.11,5.15,9.11,163.0
1634,Illinois,17,1998,5.15,9.11,5.15,9.11,163.0
1635,Indiana,18,1998,5.15,9.11,5.15,9.11,163.0
1636,Iowa,19,1998,5.15,9.11,5.15,9.11,163.0
1637,Kansas,20,1998,5.15,9.11,5.15,9.11,163.0
1638,Kentucky,21,1998,5.15,9.11,5.15,9.11,163.0
1639,Louisiana,22,1998,5.15,9.11,5.15,9.11,163.0
1640,Maine,23,1998,5.15,9.11,5.15,9.11,163.0
1641,Maryland,24,1998,5.15,9.11,5.15,9.11,163.0
1642,Massachusetts,25,1998,5.15,9.11,5.25,9.29,163.0
1643,Michigan,26,1998,5.15,9.11,5.15,9.11,163.0
1644,Minnesota,27,1998,5.15,9.11,5.15,9.11,163.0
1645,Mississippi,28,1998,5.15,9.11,5.15,9.11,163.0
1646,Missouri,29,1998,5.15,9.11,5.15,9.11,163.0
1647,Montana,30,1998,5.15,9.11,5.15,9.11,163.0
1648,Nebraska,31,1998,5.15,9.11,5.15,9.11,163.0
1649,Nevada,32,1998,5.15,9.11,5.15,9.11,163.0
1650,New Hampshire,33,1998,5.15,9.11,5.15,9.11,163.0
1651,New Jersey,34,1998,5.15,9.11,5.15,9.11,163.0
1652,New Mexico,35,1998,5.15,9.11,5.15,9.11,163.0
1653,New York,36,1998,5.15,9.11,5.15,9.11,163.0
1654,North Carolina,37,1998,5.15,9.11,5.15,9.11,163.0
1655,North Dakota,38,1998,5.15,9.11,5.15,9.11,163.0
1656,Ohio,39,1998,5.15,9.11,5.15,9.11,163.0
1657,Oklahoma,40,1998,5.15,9.11,5.15,9.11,163.0
1658,Oregon,41,1998,5.15,9.11,6.0,10.61,163.0
1659,Pennsylvania,42,1998,5.15,9.11,5.15,9.11,163.0
1660,Puerto Rico,72,1998,5.15,9.11,5.15,9.11,163.0
1661,Rhode Island,44,1998,5.15,9.11,5.15,9.11,163.0
1662,South Carolina,45,1998,5.15,9.11,5.15,9.11,163.0
1663,South Dakota,46,1998,5.15,9.11,5.15,9.11,163.0
1664,Tennessee,47,1998,5.15,9.11,5.15,9.11,163.0
1665,Texas,48,1998,5.15,9.11,5.15,9.11,163.0
1666,U.S. Virgin Islands,78,1998,5.15,9.11,5.15,9.11,163.0
1667,Utah,49,1998,5.15,9.11,5.15,9.11,163.0
1668,Vermont,50,1998,5.15,9.11,5.25,9.29,163.0
1669,Virginia,51,1998,5.15,9.11,5.15,9.11,163.0
1670,Washington,53,1998,5.15,9.11,5.15,9.11,163.0
1671,West Virginia,54,1998,5.15,9.11,5.15,9.11,163.0
1672,Wisconsin,55,1998,5.15,9.11,5.15,9.11,163.0
1673,Wyoming,56,1998,5.15,9.11,5.15,9.11,163.0
1674,Alabama,1,1999,5.15,8.91,5.15,8.91,166.6
1675,Alaska,2,1999,5.15,8.91,5.65,9.78,166.6
1676,Arizona,4,1999,5.15,8.91,5.15,8.91,166.6
1677,Arkansas,5,1999,5.15,8.91,5.15,8.91,166.6
1678,California,6,1999,5.15,8.91,5.15,8.91,166.6
1679,Colorado,8,1999,5.15,8.91,5.15,8.91,166.6
1680,Connecticut,9,1999,5.15,8.91,5.18,8.97,166.6
1681,Delaware,10,1999,5.15,8.91,5.15,8.91,166.6
1682,District of Columbia,11,1999,5.15,8.91,6.15,10.64,166.6
1683,Florida,12,1999,5.15,8.91,5.15,8.91,166.6
1684,Georgia,13,1999,5.15,8.91,5.15,8.91,166.6
1685,Guam,66,1999,5.15,8.91,5.15,8.91,166.6
1686,Hawaii,15,1999,5.15,8.91,5.25,9.09,166.6
1687,Idaho,16,1999,5.15,8.91,5.15,8.91,166.6
1688,Illinois,17,1999,5.15,8.91,5.15,8.91,166.6
1689,Indiana,18,1999,5.15,8.91,5.15,8.91,166.6
1690,Iowa,19,1999,5.15,8.91,5.15,8.91,166.6
1691,Kansas,20,1999,5.15,8.91,5.15,8.91,166.6
1692,Kentucky,21,1999,5.15,8.91,5.15,8.91,166.6
1693,Louisiana,22,1999,5.15,8.91,5.15,8.91,166.6
1694,Maine,23,1999,5.15,8.91,5.15,8.91,166.6
1695,Maryland,24,1999,5.15,8.91,5.15,8.91,166.6
1696,Massachusetts,25,1999,5.15,8.91,5.25,9.09,166.6
1697,Michigan,26,1999,5.15,8.91,5.15,8.91,166.6
1698,Minnesota,27,1999,5.15,8.91,5.15,8.91,166.6
1699,Mississippi,28,1999,5.15,8.91,5.15,8.91,166.6
1700,Missouri,29,1999,5.15,8.91,5.15,8.91,166.6
1701,Montana,30,1999,5.15,8.91,5.15,8.91,166.6
1702,Nebraska,31,1999,5.15,8.91,5.15,8.91,166.6
1703,Nevada,32,1999,5.15,8.91,5.15,8.91,166.6
1704,New Hampshire,33,1999,5.15,8.91,5.15,8.91,166.6
1705,New Jersey,34,1999,5.15,8.91,5.15,8.91,166.6
1706,New Mexico,35,1999,5.15,8.91,5.15,8.91,166.6
1707,New York,36,1999,5.15,8.91,5.15,8.91,166.6
1708,North Carolina,37,1999,5.15,8.91,5.15,8.91,166.6
1709,North Dakota,38,1999,5.15,8.91,5.15,8.91,166.6
1710,Ohio,39,1999,5.15,8.91,5.15,8.91,166.6
1711,Oklahoma,40,1999,5.15,8.91,5.15,8.91,166.6
1712,Oregon,41,1999,5.15,8.91,6.0,10.38,166.6
1713,Pennsylvania,42,1999,5.15,8.91,5.15,8.91,166.6
1714,Puerto Rico,72,1999,5.15,8.91,5.15,8.91,166.6
1715,Rhode Island,44,1999,5.15,8.91,5.15,8.91,166.6
1716,South Carolina,45,1999,5.15,8.91,5.15,8.91,166.6
1717,South Dakota,46,1999,5.15,8.91,5.15,8.91,166.6
1718,Tennessee,47,1999,5.15,8.91,5.15,8.91,166.6
1719,Texas,48,1999,5.15,8.91,5.15,8.91,166.6
1720,U.S. Virgin Islands,78,1999,5.15,8.91,5.15,8.91,166.6
1721,Utah,49,1999,5.15,8.91,5.15,8.91,166.6
1722,Vermont,50,1999,5.15,8.91,5.25,9.09,166.6
1723,Virginia,51,1999,5.15,8.91,5.15,8.91,166.6
1724,Washington,53,1999,5.15,8.91,5.15,8.91,166.6
1725,West Virginia,54,1999,5.15,8.91,5.15,8.91,166.6
1726,Wisconsin,55,1999,5.15,8.91,5.15,8.91,166.6
1727,Wyoming,56,1999,5.15,8.91,5.15,8.91,166.6
1728,Alabama,1,2000,5.15,8.62,5.15,8.62,172.2
1729,Alaska,2,2000,5.15,8.62,5.65,9.46,172.2
1730,Arizona,4,2000,5.15,8.62,5.15,8.62,172.2
1731,Arkansas,5,2000,5.15,8.62,5.15,8.62,172.2
1732,California,6,2000,5.15,8.62,5.75,9.63,172.2
1733,Colorado,8,2000,5.15,8.62,5.15,8.62,172.2
1734,Connecticut,9,2000,5.15,8.62,6.15,10.3,172.2
1735,Delaware,10,2000,5.15,8.62,5.65,9.46,172.2
1736,District of Columbia,11,2000,5.15,8.62,6.15,10.3,172.2
1737,Florida,12,2000,5.15,8.62,5.15,8.62,172.2
1738,Georgia,13,2000,5.15,8.62,5.15,8.62,172.2
1739,Guam,66,2000,5.15,8.62,5.15,8.62,172.2
1740,Hawaii,15,2000,5.15,8.62,5.25,8.79,172.2
1741,Idaho,16,2000,5.15,8.62,5.15,8.62,172.2
1742,Illinois,17,2000,5.15,8.62,5.15,8.62,172.2
1743,Indiana,18,2000,5.15,8.62,5.15,8.62,172.2
1744,Iowa,19,2000,5.15,8.62,5.15,8.62,172.2
1745,Kansas,20,2000,5.15,8.62,5.15,8.62,172.2
1746,Kentucky,21,2000,5.15,8.62,5.15,8.62,172.2
1747,Louisiana,22,2000,5.15,8.62,5.15,8.62,172.2
1748,Maine,23,2000,5.15,8.62,5.15,8.62,172.2
1749,Maryland,24,2000,5.15,8.62,5.15,8.62,172.2
1750,Massachusetts,25,2000,5.15,8.62,6.0,10.05,172.2
1751,Michigan,26,2000,5.15,8.62,5.15,8.62,172.2
1752,Minnesota,27,2000,5.15,8.62,5.15,8.62,172.2
1753,Mississippi,28,2000,5.15,8.62,5.15,8.62,172.2
1754,Missouri,29,2000,5.15,8.62,5.15,8.62,172.2
1755,Montana,30,2000,5.15,8.62,5.15,8.62,172.2
1756,Nebraska,31,2000,5.15,8.62,5.15,8.62,172.2
1757,Nevada,32,2000,5.15,8.62,5.15,8.62,172.2
1758,New Hampshire,33,2000,5.15,8.62,5.15,8.62,172.2
1759,New Jersey,34,2000,5.15,8.62,5.15,8.62,172.2
1760,New Mexico,35,2000,5.15,8.62,5.15,8.62,172.2
1761,New York,36,2000,5.15,8.62,5.15,8.62,172.2
1762,North Carolina,37,2000,5.15,8.62,5.15,8.62,172.2
1763,North Dakota,38,2000,5.15,8.62,5.15,8.62,172.2
1764,Ohio,39,2000,5.15,8.62,5.15,8.62,172.2
1765,Oklahoma,40,2000,5.15,8.62,5.15,8.62,172.2
1766,Oregon,41,2000,5.15,8.62,6.5,10.88,172.2
1767,Pennsylvania,42,2000,5.15,8.62,5.15,8.62,172.2
1768,Puerto Rico,72,2000,5.15,8.62,5.15,8.62,172.2
1769,Rhode Island,44,2000,5.15,8.62,5.65,9.46,172.2
1770,South Carolina,45,2000,5.15,8.62,5.15,8.62,172.2
1771,South Dakota,46,2000,5.15,8.62,5.15,8.62,172.2
1772,Tennessee,47,2000,5.15,8.62,5.15,8.62,172.2
1773,Texas,48,2000,5.15,8.62,5.15,8.62,172.2
1774,U.S. Virgin Islands,78,2000,5.15,8.62,5.15,8.62,172.2
1775,Utah,49,2000,5.15,8.62,5.15,8.62,172.2
1776,Vermont,50,2000,5.15,8.62,5.75,9.63,172.2
1777,Virginia,51,2000,5.15,8.62,5.15,8.62,172.2
1778,Washington,53,2000,5.15,8.62,6.5,10.88,172.2
1779,West Virginia,54,2000,5.15,8.62,5.15,8.62,172.2
1780,Wisconsin,55,2000,5.15,8.62,5.15,8.62,172.2
1781,Wyoming,56,2000,5.15,8.62,5.15,8.62,172.2
1782,Alabama,1,2001,5.15,8.39,5.15,8.39,177.1
1783,Alaska,2,2001,5.15,8.39,5.65,9.2,177.1
1784,Arizona,4,2001,5.15,8.39,5.15,8.39,177.1
1785,Arkansas,5,2001,5.15,8.39,5.15,8.39,177.1
1786,California,6,2001,5.15,8.39,6.25,10.18,177.1
1787,Colorado,8,2001,5.15,8.39,5.15,8.39,177.1
1788,Connecticut,9,2001,5.15,8.39,6.4,10.42,177.1
1789,Delaware,10,2001,5.15,8.39,6.15,10.01,177.1
1790,District of Columbia,11,2001,5.15,8.39,6.15,10.01,177.1
1791,Florida,12,2001,5.15,8.39,5.15,8.39,177.1
1792,Georgia,13,2001,5.15,8.39,5.15,8.39,177.1
1793,Guam,66,2001,5.15,8.39,5.15,8.39,177.1
1794,Hawaii,15,2001,5.15,8.39,5.25,8.55,177.1
1795,Idaho,16,2001,5.15,8.39,5.15,8.39,177.1
1796,Illinois,17,2001,5.15,8.39,5.15,8.39,177.1
1797,Indiana,18,2001,5.15,8.39,5.15,8.39,177.1
1798,Iowa,19,2001,5.15,8.39,5.15,8.39,177.1
1799,Kansas,20,2001,5.15,8.39,5.15,8.39,177.1
1800,Kentucky,21,2001,5.15,8.39,5.15,8.39,177.1
1801,Louisiana,22,2001,5.15,8.39,5.15,8.39,177.1
1802,Maine,23,2001,5.15,8.39,5.15,8.39,177.1
1803,Maryland,24,2001,5.15,8.39,5.15,8.39,177.1
1804,Massachusetts,25,2001,5.15,8.39,6.75,10.99,177.1
1805,Michigan,26,2001,5.15,8.39,5.15,8.39,177.1
1806,Minnesota,27,2001,5.15,8.39,5.15,8.39,177.1
1807,Mississippi,28,2001,5.15,8.39,5.15,8.39,177.1
1808,Missouri,29,2001,5.15,8.39,5.15,8.39,177.1
1809,Montana,30,2001,5.15,8.39,5.15,8.39,177.1
1810,Nebraska,31,2001,5.15,8.39,5.15,8.39,177.1
1811,Nevada,32,2001,5.15,8.39,5.15,8.39,177.1
1812,New Hampshire,33,2001,5.15,8.39,5.15,8.39,177.1
1813,New Jersey,34,2001,5.15,8.39,5.15,8.39,177.1
1814,New Mexico,35,2001,5.15,8.39,5.15,8.39,177.1
1815,New York,36,2001,5.15,8.39,5.15,8.39,177.1
1816,North Carolina,37,2001,5.15,8.39,5.15,8.39,177.1
1817,North Dakota,38,2001,5.15,8.39,5.15,8.39,177.1
1818,Ohio,39,2001,5.15,8.39,5.15,8.39,177.1
1819,Oklahoma,40,2001,5.15,8.39,5.15,8.39,177.1
1820,Oregon,41,2001,5.15,8.39,6.5,10.58,177.1
1821,Pennsylvania,42,2001,5.15,8.39,5.15,8.39,177.1
1822,Puerto Rico,72,2001,5.15,8.39,5.15,8.39,177.1
1823,Rhode Island,44,2001,5.15,8.39,6.15,10.01,177.1
1824,South Carolina,45,2001,5.15,8.39,5.15,8.39,177.1
1825,South Dakota,46,2001,5.15,8.39,5.15,8.39,177.1
1826,Tennessee,47,2001,5.15,8.39,5.15,8.39,177.1
1827,Texas,48,2001,5.15,8.39,5.15,8.39,177.1
1828,U.S. Virgin Islands,78,2001,5.15,8.39,5.15,8.39,177.1
1829,Utah,49,2001,5.15,8.39,5.15,8.39,177.1
1830,Vermont,50,2001,5.15,8.39,6.25,10.18,177.1
1831,Virginia,51,2001,5.15,8.39,5.15,8.39,177.1
1832,Washington,53,2001,5.15,8.39,6.72,10.94,177.1
1833,West Virginia,54,2001,5.15,8.39,5.15,8.39,177.1
1834,Wisconsin,55,2001,5.15,8.39,5.15,8.39,177.1
1835,Wyoming,56,2001,5.15,8.39,5.15,8.39,177.1
1836,Alabama,1,2002,5.15,8.25,5.15,8.25,179.9
1837,Alaska,2,2002,5.15,8.25,5.65,9.06,179.9
1838,Arizona,4,2002,5.15,8.25,5.15,8.25,179.9
1839,Arkansas,5,2002,5.15,8.25,5.15,8.25,179.9
1840,California,6,2002,5.15,8.25,6.75,10.82,179.9
1841,Colorado,8,2002,5.15,8.25,5.15,8.25,179.9
1842,Connecticut,9,2002,5.15,8.25,6.7,10.74,179.9
1843,Delaware,10,2002,5.15,8.25,6.15,9.86,179.9
1844,District of Columbia,11,2002,5.15,8.25,6.15,9.86,179.9
1845,Florida,12,2002,5.15,8.25,5.15,8.25,179.9
1846,Georgia,13,2002,5.15,8.25,5.15,8.25,179.9
1847,Guam,66,2002,5.15,8.25,5.15,8.25,179.9
1848,Hawaii,15,2002,5.15,8.25,5.75,9.22,179.9
1849,Idaho,16,2002,5.15,8.25,5.15,8.25,179.9
1850,Illinois,17,2002,5.15,8.25,5.15,8.25,179.9
1851,Indiana,18,2002,5.15,8.25,5.15,8.25,179.9
1852,Iowa,19,2002,5.15,8.25,5.15,8.25,179.9
1853,Kansas,20,2002,5.15,8.25,5.15,8.25,179.9
1854,Kentucky,21,2002,5.15,8.25,5.15,8.25,179.9
1855,Louisiana,22,2002,5.15,8.25,5.15,8.25,179.9
1856,Maine,23,2002,5.15,8.25,5.75,9.22,179.9
1857,Maryland,24,2002,5.15,8.25,5.15,8.25,179.9
1858,Massachusetts,25,2002,5.15,8.25,6.75,10.82,179.9
1859,Michigan,26,2002,5.15,8.25,5.15,8.25,179.9
1860,Minnesota,27,2002,5.15,8.25,5.15,8.25,179.9
1861,Mississippi,28,2002,5.15,8.25,5.15,8.25,179.9
1862,Missouri,29,2002,5.15,8.25,5.15,8.25,179.9
1863,Montana,30,2002,5.15,8.25,5.15,8.25,179.9
1864,Nebraska,31,2002,5.15,8.25,5.15,8.25,179.9
1865,Nevada,32,2002,5.15,8.25,5.15,8.25,179.9
1866,New Hampshire,33,2002,5.15,8.25,5.15,8.25,179.9
1867,New Jersey,34,2002,5.15,8.25,5.15,8.25,179.9
1868,New Mexico,35,2002,5.15,8.25,5.15,8.25,179.9
1869,New York,36,2002,5.15,8.25,5.15,8.25,179.9
1870,North Carolina,37,2002,5.15,8.25,5.15,8.25,179.9
1871,North Dakota,38,2002,5.15,8.25,5.15,8.25,179.9
1872,Ohio,39,2002,5.15,8.25,5.15,8.25,179.9
1873,Oklahoma,40,2002,5.15,8.25,5.15,8.25,179.9
1874,Oregon,41,2002,5.15,8.25,6.5,10.42,179.9
1875,Pennsylvania,42,2002,5.15,8.25,5.15,8.25,179.9
1876,Puerto Rico,72,2002,5.15,8.25,5.15,8.25,179.9
1877,Rhode Island,44,2002,5.15,8.25,6.15,9.86,179.9
1878,South Carolina,45,2002,5.15,8.25,5.15,8.25,179.9
1879,South Dakota,46,2002,5.15,8.25,5.15,8.25,179.9
1880,Tennessee,47,2002,5.15,8.25,5.15,8.25,179.9
1881,Texas,48,2002,5.15,8.25,5.15,8.25,179.9
1882,U.S. Virgin Islands,78,2002,5.15,8.25,5.15,8.25,179.9
1883,Utah,49,2002,5.15,8.25,5.15,8.25,179.9
1884,Vermont,50,2002,5.15,8.25,6.25,10.02,179.9
1885,Virginia,51,2002,5.15,8.25,5.15,8.25,179.9
1886,Washington,53,2002,5.15,8.25,6.9,11.06,179.9
1887,West Virginia,54,2002,5.15,8.25,5.15,8.25,179.9
1888,Wisconsin,55,2002,5.15,8.25,5.15,8.25,179.9
1889,Wyoming,56,2002,5.15,8.25,5.15,8.25,179.9
1890,Alabama,1,2003,5.15,8.07,5.15,8.07,184.0
1891,Alaska,2,2003,5.15,8.07,7.15,11.2,184.0
1892,Arizona,4,2003,5.15,8.07,5.15,8.07,184.0
1893,Arkansas,5,2003,5.15,8.07,5.15,8.07,184.0
1894,California,6,2003,5.15,8.07,6.75,10.58,184.0
1895,Colorado,8,2003,5.15,8.07,5.15,8.07,184.0
1896,Connecticut,9,2003,5.15,8.07,6.9,10.81,184.0
1897,Delaware,10,2003,5.15,8.07,6.15,9.64,184.0
1898,District of Columbia,11,2003,5.15,8.07,6.15,9.64,184.0
1899,Florida,12,2003,5.15,8.07,5.15,8.07,184.0
1900,Georgia,13,2003,5.15,8.07,5.15,8.07,184.0
1901,Guam,66,2003,5.15,8.07,5.15,8.07,184.0
1902,Hawaii,15,2003,5.15,8.07,6.25,9.79,184.0
1903,Idaho,16,2003,5.15,8.07,5.15,8.07,184.0
1904,Illinois,17,2003,5.15,8.07,5.15,8.07,184.0
1905,Indiana,18,2003,5.15,8.07,5.15,8.07,184.0
1906,Iowa,19,2003,5.15,8.07,5.15,8.07,184.0
1907,Kansas,20,2003,5.15,8.07,5.15,8.07,184.0
1908,Kentucky,21,2003,5.15,8.07,5.15,8.07,184.0
1909,Louisiana,22,2003,5.15,8.07,5.15,8.07,184.0
1910,Maine,23,2003,5.15,8.07,6.25,9.79,184.0
1911,Maryland,24,2003,5.15,8.07,5.15,8.07,184.0
1912,Massachusetts,25,2003,5.15,8.07,6.75,10.58,184.0
1913,Michigan,26,2003,5.15,8.07,5.15,8.07,184.0
1914,Minnesota,27,2003,5.15,8.07,5.15,8.07,184.0
1915,Mississippi,28,2003,5.15,8.07,5.15,8.07,184.0
1916,Missouri,29,2003,5.15,8.07,5.15,8.07,184.0
1917,Montana,30,2003,5.15,8.07,5.15,8.07,184.0
1918,Nebraska,31,2003,5.15,8.07,5.15,8.07,184.0
1919,Nevada,32,2003,5.15,8.07,5.15,8.07,184.0
1920,New Hampshire,33,2003,5.15,8.07,5.15,8.07,184.0
1921,New Jersey,34,2003,5.15,8.07,5.15,8.07,184.0
1922,New Mexico,35,2003,5.15,8.07,5.15,8.07,184.0
1923,New York,36,2003,5.15,8.07,5.15,8.07,184.0
1924,North Carolina,37,2003,5.15,8.07,5.15,8.07,184.0
1925,North Dakota,38,2003,5.15,8.07,5.15,8.07,184.0
1926,Ohio,39,2003,5.15,8.07,5.15,8.07,184.0
1927,Oklahoma,40,2003,5.15,8.07,5.15,8.07,184.0
1928,Oregon,41,2003,5.15,8.07,6.9,10.81,184.0
1929,Pennsylvania,42,2003,5.15,8.07,5.15,8.07,184.0
1930,Puerto Rico,72,2003,5.15,8.07,5.15,8.07,184.0
1931,Rhode Island,44,2003,5.15,8.07,6.15,9.64,184.0
1932,South Carolina,45,2003,5.15,8.07,5.15,8.07,184.0
1933,South Dakota,46,2003,5.15,8.07,5.15,8.07,184.0
1934,Tennessee,47,2003,5.15,8.07,5.15,8.07,184.0
1935,Texas,48,2003,5.15,8.07,5.15,8.07,184.0
1936,U.S. Virgin Islands,78,2003,5.15,8.07,5.15,8.07,184.0
1937,Utah,49,2003,5.15,8.07,5.15,8.07,184.0
1938,Vermont,50,2003,5.15,8.07,6.25,9.79,184.0
1939,Virginia,51,2003,5.15,8.07,5.15,8.07,184.0
1940,Washington,53,2003,5.15,8.07,7.01,10.99,184.0
1941,West Virginia,54,2003,5.15,8.07,5.15,8.07,184.0
1942,Wisconsin,55,2003,5.15,8.07,5.15,8.07,184.0
1943,Wyoming,56,2003,5.15,8.07,5.15,8.07,184.0
1944,Alabama,1,2004,5.15,7.86,5.15,7.86,188.9
1945,Alaska,2,2004,5.15,7.86,7.15,10.91,188.9
1946,Arizona,4,2004,5.15,7.86,5.15,7.86,188.9
1947,Arkansas,5,2004,5.15,7.86,5.15,7.86,188.9
1948,California,6,2004,5.15,7.86,6.75,10.3,188.9
1949,Colorado,8,2004,5.15,7.86,5.15,7.86,188.9
1950,Connecticut,9,2004,5.15,7.86,7.1,10.84,188.9
1951,Delaware,10,2004,5.15,7.86,6.15,9.39,188.9
1952,District of Columbia,11,2004,5.15,7.86,6.15,9.39,188.9
1953,Florida,12,2004,5.15,7.86,5.15,7.86,188.9
1954,Georgia,13,2004,5.15,7.86,5.15,7.86,188.9
1955,Guam,66,2004,5.15,7.86,5.15,7.86,188.9
1956,Hawaii,15,2004,5.15,7.86,6.25,9.54,188.9
1957,Idaho,16,2004,5.15,7.86,5.15,7.86,188.9
1958,Illinois,17,2004,5.15,7.86,5.5,8.4,188.9
1959,Indiana,18,2004,5.15,7.86,5.15,7.86,188.9
1960,Iowa,19,2004,5.15,7.86,5.15,7.86,188.9
1961,Kansas,20,2004,5.15,7.86,5.15,7.86,188.9
1962,Kentucky,21,2004,5.15,7.86,5.15,7.86,188.9
1963,Louisiana,22,2004,5.15,7.86,5.15,7.86,188.9
1964,Maine,23,2004,5.15,7.86,6.25,9.54,188.9
1965,Maryland,24,2004,5.15,7.86,5.15,7.86,188.9
1966,Massachusetts,25,2004,5.15,7.86,6.75,10.3,188.9
1967,Michigan,26,2004,5.15,7.86,5.15,7.86,188.9
1968,Minnesota,27,2004,5.15,7.86,5.15,7.86,188.9
1969,Mississippi,28,2004,5.15,7.86,5.15,7.86,188.9
1970,Missouri,29,2004,5.15,7.86,5.15,7.86,188.9
1971,Montana,30,2004,5.15,7.86,5.15,7.86,188.9
1972,Nebraska,31,2004,5.15,7.86,5.15,7.86,188.9
1973,Nevada,32,2004,5.15,7.86,5.15,7.86,188.9
1974,New Hampshire,33,2004,5.15,7.86,5.15,7.86,188.9
1975,New Jersey,34,2004,5.15,7.86,5.15,7.86,188.9
1976,New Mexico,35,2004,5.15,7.86,5.15,7.86,188.9
1977,New York,36,2004,5.15,7.86,5.15,7.86,188.9
1978,North Carolina,37,2004,5.15,7.86,5.15,7.86,188.9
1979,North Dakota,38,2004,5.15,7.86,5.15,7.86,188.9
1980,Ohio,39,2004,5.15,7.86,5.15,7.86,188.9
1981,Oklahoma,40,2004,5.15,7.86,5.15,7.86,188.9
1982,Oregon,41,2004,5.15,7.86,7.05,10.76,188.9
1983,Pennsylvania,42,2004,5.15,7.86,5.15,7.86,188.9
1984,Puerto Rico,72,2004,5.15,7.86,5.15,7.86,188.9
1985,Rhode Island,44,2004,5.15,7.86,6.75,10.3,188.9
1986,South Carolina,45,2004,5.15,7.86,5.15,7.86,188.9
1987,South Dakota,46,2004,5.15,7.86,5.15,7.86,188.9
1988,Tennessee,47,2004,5.15,7.86,5.15,7.86,188.9
1989,Texas,48,2004,5.15,7.86,5.15,7.86,188.9
1990,U.S. Virgin Islands,78,2004,5.15,7.86,5.15,7.86,188.9
1991,Utah,49,2004,5.15,7.86,5.15,7.86,188.9
1992,Vermont,50,2004,5.15,7.86,6.75,10.3,188.9
1993,Virginia,51,2004,5.15,7.86,5.15,7.86,188.9
1994,Washington,53,2004,5.15,7.86,7.16,10.93,188.9
1995,West Virginia,54,2004,5.15,7.86,5.15,7.86,188.9
1996,Wisconsin,55,2004,5.15,7.86,5.15,7.86,188.9
1997,Wyoming,56,2004,5.15,7.86,5.15,7.86,188.9
1998,Alabama,1,2005,5.15,7.6,5.15,7.6,195.3
1999,Alaska,2,2005,5.15,7.6,7.15,10.56,195.3
2000,Arizona,4,2005,5.15,7.6,5.15,7.6,195.3
2001,Arkansas,5,2005,5.15,7.6,5.15,7.6,195.3
2002,California,6,2005,5.15,7.6,6.75,9.97,195.3
2003,Colorado,8,2005,5.15,7.6,5.15,7.6,195.3
2004,Connecticut,9,2005,5.15,7.6,7.1,10.48,195.3
2005,Delaware,10,2005,5.15,7.6,6.15,9.08,195.3
2006,District of Columbia,11,2005,5.15,7.6,6.6,9.74,195.3
2007,Florida,12,2005,5.15,7.6,5.15,7.6,195.3
2008,Georgia,13,2005,5.15,7.6,5.15,7.6,195.3
2009,Guam,66,2005,5.15,7.6,5.15,7.6,195.3
2010,Hawaii,15,2005,5.15,7.6,6.25,9.23,195.3
2011,Idaho,16,2005,5.15,7.6,5.15,7.6,195.3
2012,Illinois,17,2005,5.15,7.6,6.5,9.6,195.3
2013,Indiana,18,2005,5.15,7.6,5.15,7.6,195.3
2014,Iowa,19,2005,5.15,7.6,5.15,7.6,195.3
2015,Kansas,20,2005,5.15,7.6,5.15,7.6,195.3
2016,Kentucky,21,2005,5.15,7.6,5.15,7.6,195.3
2017,Louisiana,22,2005,5.15,7.6,5.15,7.6,195.3
2018,Maine,23,2005,5.15,7.6,6.35,9.38,195.3
2019,Maryland,24,2005,5.15,7.6,5.15,7.6,195.3
2020,Massachusetts,25,2005,5.15,7.6,6.75,9.97,195.3
2021,Michigan,26,2005,5.15,7.6,5.15,7.6,195.3
2022,Minnesota,27,2005,5.15,7.6,5.15,7.6,195.3
2023,Mississippi,28,2005,5.15,7.6,5.15,7.6,195.3
2024,Missouri,29,2005,5.15,7.6,5.15,7.6,195.3
2025,Montana,30,2005,5.15,7.6,5.15,7.6,195.3
2026,Nebraska,31,2005,5.15,7.6,5.15,7.6,195.3
2027,Nevada,32,2005,5.15,7.6,5.15,7.6,195.3
2028,New Hampshire,33,2005,5.15,7.6,5.15,7.6,195.3
2029,New Jersey,34,2005,5.15,7.6,5.15,7.6,195.3
2030,New Mexico,35,2005,5.15,7.6,5.15,7.6,195.3
2031,New York,36,2005,5.15,7.6,6.0,8.86,195.3
2032,North Carolina,37,2005,5.15,7.6,5.15,7.6,195.3
2033,North Dakota,38,2005,5.15,7.6,5.15,7.6,195.3
2034,Ohio,39,2005,5.15,7.6,5.15,7.6,195.3
